ORIG_ARPT_CDE,DEST_ARPT_CDE,Origin BackBone Category,Dept BackBone Category,Turn Category,Date,ACFT_CAPY_CT,NSTP_MILE_CT,PAX,REV,ASM,RPM
PHX,PDX,Constrained,Key Stations,LFHI,12/31/2018,175,1009,159,15475,176575,160431
MSP,MDW,Cornerstone,Key Stations,LFHI,12/31/2018,143,349,142,15351,49907,49558
BWI,FLL,Constrained,Cornerstone,Acceptable,12/31/2018,175,925,142,16067,161875,131350
AMA,DAL,Gateway,Others,LFHI,12/31/2018,143,323,55,6308,46189,17765
PDX,PHX,Key Stations,Constrained,HFLI,12/31/2018,143,1009,4,595,144287,4036
MDW,ORF,Key Stations, ,HFLI,12/31/2018,143,704,90,8348,100672,63360
SJD,HOU,Others,Key Stations,HFLI,12/31/2018,143,1000,49,1424,143000,49000
SAN,SFO,Constrained,Constrained,HFLI,12/31/2018,143,447,96,5492,63921,42912
MEM,MDW,Cornerstone,Key Stations,Waste,12/31/2018,143,480,140,18732,68640,67200
NAS,FLL,Gateway,Cornerstone,HFLI,12/31/2018,143,182,139,13130,26026,25298
DAL,BNA,Others,Gateway,Waste,12/31/2018,175,623,127,8692,109025,79121
ATL,MSY,Others,Constrained,Acceptable,12/31/2018,143,425,63,3160,60775,26775
SAT,PHX,Key Stations,Constrained,HFLI,12/31/2018,143,843,84,6461,120549,70812
HNL,SJC,Others,Gateway,HFLI,12/31/2018,175,2417,139,8705,422975,335963
CMH,FLL,Gateway,Cornerstone,LFHI,12/31/2018,175,973,100,11372,170275,97300
LAS,SJC,Key Stations,Gateway,LFHI,12/31/2018,143,386,129,9259,55198,49794
MDW,PIT,Key Stations,Key Stations,LFHI,12/31/2018,143,402,157,13001,57486,63114
LBB,DAL,Constrained,Others,Acceptable,12/31/2018,143,293,69,6307,41899,20217
TUL,LAS,Cornerstone,Key Stations,LFHI,12/31/2018,175,1076,3,359,188300,3228
LGA,MDW,Gateway,Key Stations,Acceptable,12/31/2018,143,725,7,169,103675,5075
RSW,MKE,Key Stations,Cornerstone,LFHI,12/31/2018,143,1183,61,5454,169169,72163
MCI,MSY,Gateway,Constrained,Waste,12/31/2018,143,689,175,13026,98527,120575
STL,MCO,Others,Others,Waste,12/31/2018,143,882,137,17260,126126,120834
SAN,SMF,Constrained,Cornerstone,LFHI,12/31/2018,,480,81,9297,0,38880
DEN,BUR,Cornerstone,Key Stations,HFLI,12/31/2018,,850,28,3576,0,23800
BWI,OKC,Constrained,Key Stations,HFLI,12/31/2018,,1180,101,6340,0,119180
LGB,OAK,Gateway,Constrained,Waste,12/31/2018,,353,104,8542,0,36712
OMA,LAS,Constrained,Key Stations,LFHI,12/31/2018,,1099,117,8689,0,128583
OKC,DEN,Key Stations,Cornerstone,Waste,12/31/2018,,495,92,14857,0,45540
LGA,MDW,Gateway,Key Stations,LFHI,12/31/2018,,725,75,6277,0,54375
LAX,OAK,Others,Constrained,LFHI,12/31/2018,,337,49,2319,0,16513
PHX,MKE,Constrained,Cornerstone,Acceptable,12/31/2018,143,1460,78,10963,208780,113880
BZE,FLL,Cornerstone,Cornerstone,LFHI,12/31/2018,143,786,98,10404,112398,77028
SJC,PHX,Gateway,Constrained,HFLI,12/31/2018,143,621,109,10210,88803,67689
HOU,BNA,Key Stations,Gateway,HFLI,12/31/2018,143,670,89,,95810,59630
OAK,BUR,Constrained,Key Stations,Waste,12/31/2018,143,325,138,,46475,44850
TPA,BHM,Others,Others,Waste,12/31/2018,175,459,143,,80325,65637
SAT,LAS,Key Stations,Key Stations,LFHI,12/31/2018,143,1069,86,,152867,91934
MCO,SAT,Others,Key Stations,Waste,12/31/2018,175,1041,162,,182175,168642
HAV,FLL,Constrained,Cornerstone,LFHI,12/31/2018,175,255,77,,44625,19635
MDW,SJU,Key Stations,Cornerstone,LFHI,12/31/2018,143,2057,137,,294151,281809
MKE,DEN,Cornerstone,Cornerstone,Acceptable,12/31/2018,175,896,99,9963,156800,88704
BNA,BUR,Gateway,Key Stations,LFHI,12/31/2018,143,1791,112,7276,256113,200592
LIT,DAL,Key Stations,Others,LFHI,12/31/2018,143,296,135,6848,42328,39960
DAL,ONT,Others,Cornerstone,HFLI,12/31/2018,175,1200,143,11216,210000,171600
LAS,HOU,Key Stations,Key Stations,HFLI,1/1/2019,175,1235,85,5469,216125,104975
BNA,FLL,Gateway,Cornerstone,Waste,1/1/2019,143,793,144,17305,113399,114192
MDW,LAS,Key Stations,Key Stations,HFLI,1/1/2019,175,1521,130,19922,266175,197730
FLL,DCA,Cornerstone,Constrained,LFHI,1/1/2019,143,899,112,6744,128557,100688
TPA,BDL,Others,Key Stations,Waste,1/1/2019,143,1111,62,8136,158873,68882
SJC,DEN,Gateway,Cornerstone,Acceptable,1/1/2019,175,948,73,6797,165900,69204
LAX,RNO,Others,Others,Waste,1/1/2019,143,391,122,17024,55913,47702
HOU,DAL,Key Stations,Others,Waste,1/1/2019,143,239,121,6403,34177,28919
SAT,DEN,Key Stations,Cornerstone,Waste,1/1/2019,143,794,129,15011,113542,102426
LAX,SJC,Others,Gateway,LFHI,1/1/2019,143,308,116,10499,44044,35728
MDW,MSY,Key Stations,Constrained,Acceptable,1/1/2019,143,825,103,8802,117975,84975
FLL,BUF,Cornerstone,Key Stations,HFLI,1/1/2019,143,1166,55,6532,166738,64130
MDW,BUR,Key Stations,Key Stations,HFLI,1/1/2019,175,1740,133,19860,304500,231420
PHX,TUL,Constrained,Cornerstone,HFLI,1/1/2019,143,935,124,5357,133705,115940
BWI,DEN,Constrained,Cornerstone,LFHI,1/1/2019,175,1491,143,12649,260925,213213
STL,TUL,Others,Cornerstone,Acceptable,1/1/2019,143,351,159,19252,50193,55809
LAX,ABQ,Others,Others,Acceptable,1/1/2019,143,677,138,7634,96811,93426
SMF,LAX,Cornerstone,Others,Acceptable,1/1/2019,143,373,85,10285,53339,31705
SFO,PHX,Constrained,Constrained,Waste,1/1/2019,143,651,100,5627,93093,65100
MDW,PHX,Key Stations,Constrained,HFLI,1/1/2019,175,1444,66,4295,252700,95304
MCI,DAL,Gateway,Others,LFHI,1/1/2019,143,460,72,2129,65780,33120
PDX,DEN,Key Stations,Cornerstone,LFHI,1/1/2019,175,991,124,15545,173425,122884
BNA,BOS,Gateway,Others,LFHI,1/1/2019,175,942,98,12577,164850,92316
TPA,FLL,Others,Cornerstone,Acceptable,1/1/2019,175,197,75,6714,34475,14775
PHX,ABQ,Constrained,Others,LFHI,1/1/2019,143,328,68,8542,46904,22304
MEM,DAL,Cornerstone,Others,LFHI,1/1/2019,143,423,112,11094,60489,47376
OKC,HOU,Key Stations,Key Stations,Acceptable,1/1/2019,143,419,139,20314,59917,58241
RNO,LAS,Others,Key Stations,Acceptable,1/1/2019,143,345,141,13294,49335,48645
LAX,HOU,Others,Key Stations,HFLI,1/1/2019,143,1390,129,15909,198770,
DEN,STL,Cornerstone,Others,HFLI,1/1/2019,143,770,102,11909,110110,
MCO,DAL,Others,Others,Waste,1/1/2019,143,973,133,9114,139139,
PDX,SMF,Key Stations,Cornerstone,Waste,1/1/2019,143,479,59,8258,68497,
SEA,LAS,Constrained,Key Stations,HFLI,1/1/2019,175,867,144,14817,151725,
MDW,ATL,Key Stations,Others,Waste,1/1/2019,143,591,76,10176,84513,
ATL,AUS,Others,Gateway,Acceptable,1/1/2019,143,813,131,10760,116259,
LAS,RNO,Key Stations,Others,HFLI,1/1/2019,143,345,133,16853,49335,
MKE,PHX,Cornerstone,Constrained,LFHI,1/1/2019,175,1460,124,14303,255500,181040
PBI,ISP,Cornerstone,Key Stations,LFHI,1/1/2019,175,1052,149,18004,184100,156748
CLE,BWI,Gateway,Constrained,HFLI,1/1/2019,175,314,58,3475,54950,18212
BZE,DEN,Cornerstone,Cornerstone,LFHI,1/1/2019,143,1824,97,4932,260832,176928
BNA,MCO,Gateway,Others,LFHI,1/1/2019,143,616,66,3790,88088,40656
LGA,MDW,Gateway,Key Stations,HFLI,1/1/2019,143,725,22,2485,103675,15950
BNA,HOU,Gateway,Key Stations,Waste,1/1/2019,143,670,143,20730,95810,95810
LAX,PHX,Others,Constrained,Waste,1/1/2019,143,370,108,8143,52910,39960
BUR,OAK,Key Stations,Constrained,Acceptable,1/1/2019,143,325,128,9714,46475,41600
RDU,BWI,Others,Constrained,LFHI,1/1/2019,143,255,65,9893,36465,16575
FLL,MKE,Cornerstone,Cornerstone,Acceptable,1/1/2019,143,1243,151,12074,177749,187693
MDW,OAK,Key Stations,Constrained,Acceptable,1/1/2019,175,1844,141,10765,322700,260004
OGG,HNL,Constrained,Others,HFLI,1/1/2019,175,100,108,7130,17500,10800
PHX,LAS,Constrained,Key Stations,Acceptable,1/1/2019,143,255,142,12504,36465,36210
SAT,MSY,Key Stations,Constrained,LFHI,1/1/2019,143,494,146,17915,70642,72124
ELP,PHX,Cornerstone,Constrained,LFHI,1/2/2019,143,347,111,5693,49621,38517
SNA,SMF,Gateway,Cornerstone,Acceptable,1/2/2019,143,404,140,20031,57772,56560
BNA,DEN,Gateway,Cornerstone,Acceptable,1/2/2019,143,1014,62,5835,145002,62868
LAS,TUS,Key Stations,Cornerstone,Acceptable,1/2/2019,143,365,115,11230,52195,41933
TPA,LGA,Others,Gateway,Acceptable,1/2/2019,143,1010,115,11252,144430,116220
OAK,ONT,Constrained,Cornerstone,HFLI,1/2/2019,143,362,115,11274,51766,41721
LAS,RNO,Key Stations,Others,HFLI,1/2/2019,143,345,115,11296,49335,39825
DEN,PDX,Cornerstone,Key Stations,Acceptable,1/2/2019,175,991,116,11318,173425,114579
OMA,STL,Constrained,Others,LFHI,1/2/2019,143,342,116,11340,48906,39605
ALB,TPA,Key Stations,Others,Waste,1/2/2019,175,1130,116,11362,197750,131065
RDU,HOU,Others,Key Stations,Acceptable,1/2/2019,175,1050,116,11384,183750,121979
JAX,BNA,Others,Gateway,Acceptable,1/2/2019,143,483,116,11406,69069,56199
MSY,MCO,Constrained,Others,HFLI,1/2/2019,143,551,117,11427,78793,64212
TUS,DEN,Cornerstone,Cornerstone,Acceptable,1/2/2019,143,639,117,11449,91377,74584
BUR,SMF,Key Stations,Cornerstone,LFHI,1/2/2019,143,358,117,11471,51194,41852
PHX,SJC,Constrained,Gateway,Waste,1/2/2019,143,621,117,11493,88803,72711
LAS,PHX,Key Stations,Constrained,HFLI,1/2/2019,143,255,117,11515,36465,29904
SDF,BWI,Gateway,Constrained,Waste,1/2/2019,143,495,117,11537,70785,58140
SAN,OAK,Constrained,Constrained,LFHI,1/2/2019,143,446,118,11559,63778,52467
MCI,FLL,Gateway,Cornerstone,HFLI,1/2/2019,143,1242,118,11581,177606,146334
SAN,DEN,Constrained,Cornerstone,HFLI,1/2/2019,143,853,118,11603,121979,100658
MSY,MDW,Constrained,Key Stations,HFLI,1/2/2019,143,825,118,11625,117975,97506
BDL,BWI,Key Stations,Constrained,Waste,1/2/2019,143,283,118,11647,40469,33499
STL,PHX,Others,Constrained,LFHI,1/2/2019,143,1262,119,11669,180466,149617
ELP,DAL,Cornerstone,Others,Waste,1/2/2019,143,562,119,11691,80366,66731
STL,DEN,Others,Cornerstone,Waste,1/2/2019,143,770,119,11713,110110,91570
LAS,OAK,Key Stations,Constrained,Waste,1/2/2019,175,407,119,11735,71225,48476
HOU,CUN,Key Stations,Cornerstone,LFHI,1/2/2019,143,791,119,11757,113113,94358
PHX,SAT,Constrained,Key Stations,HFLI,1/2/2019,143,843,119,11779,120549,100716
BWI,CHS,Constrained,Cornerstone,HFLI,1/2/2019,143,472,120,11801,67496,56478
AMA,LAS,Gateway,Key Stations,HFLI,1/2/2019,143,758,120,11823,108394,90839
SMF,PDX,Cornerstone,Key Stations,HFLI,1/2/2019,143,479,120,11845,68497,57491
BHM,LAS,Others,Key Stations,Waste,1/2/2019,175,1618,120,11867,283150,194495
BWI,BOS,Constrained,Others,LFHI,1/2/2019,143,369,120,11889,52767,44424
STL,SAT,Others,Key Stations,Acceptable,1/2/2019,143,786,121,11910,112398,94771
PVD,BWI,Constrained,Constrained,HFLI,1/2/2019,143,327,121,11932,46761,39488
SMF,SNA,Cornerstone,Gateway,LFHI,1/2/2019,143,404,121,11954,57772,48860
LGA,DAL,Gateway,Others,HFLI,1/2/2019,143,1381,121,11976,197483,167273
BWI,MKE,Constrained,Cornerstone,Waste,1/2/2019,143,641,121,11998,91663,77758
PVD,BWI,Constrained,Constrained,LFHI,1/2/2019,143,327,121,12020,46761,39728
SAN,LAS,Constrained,Key Stations,Acceptable,1/2/2019,143,258,122,12042,36894,31392
SMF,LAS,Cornerstone,Key Stations,Waste,1/2/2019,143,397,122,12064,56771,48378
MDW,LGA,Key Stations,Gateway,LFHI,1/2/2019,143,725,122,12086,103675,88481
MCO,SJC,Others,Gateway,HFLI,1/2/2019,175,2421,122,12108,423675,295908
BWI,FLL,Constrained,Cornerstone,Waste,1/2/2019,175,925,122,12130,161875,113228
HOU,DAL,Key Stations,Others,Waste,1/2/2019,143,239,123,12152,34177,29300
CMH,ATL,Gateway,Others,LFHI,1/2/2019,175,447,123,12174,78225,54881
PHX,ICT,Constrained,Cornerstone,Waste,1/2/2019,175,870,123,12196,152250,106975
HNL,KOA,Others,Others,LFHI,1/2/2019,175,163,123,12218,28525,20072
BWI,ABQ,Constrained,Others,HFLI,1/3/2019,175,1670,123,12240,292250,205955
DEN,DAL,Cornerstone,Others,LFHI,1/3/2019,143,651,124,12262,93093,80405
SNA,SJD,Gateway,Others,LFHI,1/3/2019,143,877,124,12284,125411,108479
AUS,SFO,Gateway,Constrained,HFLI,1/3/2019,143,1504,124,12306,215072,186311
LAX,LAS,Others,Key Stations,HFLI,1/3/2019,143,236,124,12328,33748,29278
LAS,SMF,Key Stations,Cornerstone,LFHI,1/3/2019,143,397,124,12350,56771,49325
BWI,ALB,Constrained,Key Stations,Waste,1/3/2019,143,289,124,12372,41327,35960
MCO,DAL,Others,Others,HFLI,1/3/2019,175,973,125,12394,170275,121247
DCA,DAL,Constrained,Others,Acceptable,1/3/2019,143,1184,125,12415,169312,147757
BWI,DTW,Constrained,Key Stations,Waste,1/3/2019,143,409,125,12437,58487,51116
LAS,SNA,Key Stations,Gateway,Acceptable,1/3/2019,143,226,125,12459,32318,28287
MKE,DAL,Cornerstone,Others,HFLI,1/3/2019,175,850,125,12481,148750,106543
MDW,PHL,Key Stations,Constrained,Acceptable,1/3/2019,143,668,126,12503,95524,83853
HOU,AMA,Key Stations,Gateway,HFLI,1/3/2019,143,537,126,12525,,67507
SEA,PHX,Constrained,Constrained,Waste,1/3/2019,175,1107,126,12547,,139366
MCO,STL,Others,Others,HFLI,1/3/2019,143,882,126,12569,,111202
SMF,SNA,Cornerstone,Gateway,LFHI,1/3/2019,143,404,126,12591,,51010
TUL,HOU,Cornerstone,Key Stations,Acceptable,1/3/2019,143,453,126,12613,,57280
DEN,SAN,Cornerstone,Constrained,Acceptable,1/3/2019,143,853,127,12635,,108015
SJU,BWI,Cornerstone,Constrained,Acceptable,1/3/2019,175,1565,127,12657,,198462
OGG,,Constrained,Others,HFLI,1/3/2019,175,100,127,12679,17500,12700
DEN,,Cornerstone,Constrained,HFLI,1/3/2019,175,957,127,12701,167475,121711
BNA,,Gateway,Others,HFLI,1/3/2019,143,442,127,12723,63206,56295
LAS,,Key Stations,Key Stations,Acceptable,1/3/2019,175,1521,128,12745,266175,193999
HOU,,Key Stations,Others,LFHI,1/3/2019,143,696,128,12767,99528,88900
DCA,,Constrained,Key Stations,Acceptable,1/3/2019,143,1158,128,12789,165594,148124
LAX,SFO,Others,Constrained,LFHI,1/3/2019,143,337,128,12811,48191,43169
HOU,CUN,Key Stations,Cornerstone,Waste,1/3/2019,143,791,128,12833,113113,101470
BWI,TPA,Constrained,Others,Waste,1/3/2019,143,842,128,12855,120406,108167
STL,SEA,Others,Constrained,LFHI,1/3/2019,143,1709,129,12877,244387,219859
BWI,PVD,Constrained,Constrained,Acceptable,1/3/2019,143,327,129,12898,46761,42128
JAX,BWI,Others,Constrained,HFLI,1/3/2019,143,663,129,12920,94809,85537
ATL,MDW,Others,Key Stations,Acceptable,1/3/2019,143,591,129,12942,84513,76356
HOU,MSY,Key Stations,Constrained,LFHI,1/3/2019,143,302,129,12964,43186,39073
IND,MCI,Gateway,Gateway,LFHI,1/3/2019,143,451,130,12986,64493,58434
MCI,LAS,Gateway,Key Stations,Waste,1/3/2019,143,1139,130,13008,162877,147784
DEN,MDW,Cornerstone,Key Stations,Waste,1/3/2019,175,895,130,13030,156625,116290
SNA,OAK,Gateway,Constrained,Waste,1/3/2019,143,371,130,13052,53053,48273
SJC,PHX,Gateway,Constrained,Acceptable,1/3/2019,143,621,130,13074,88803,80916
DAL,BWI,Others,Constrained,Acceptable,1/3/2019,175,1209,130,13096,211575,157754
SNA,DAL,Gateway,Others,LFHI,1/3/2019,143,1216,131,13118,173888,158890
DEN,BWI,Cornerstone,Constrained,LFHI,1/3/2019,175,1491,131,13140,260925,195097
ISP,MCO,,Others,LFHI,1/3/2019,143,971,131,13162,138853,127234
TPA,SDF,,Gateway,HFLI,1/3/2019,143,727,131,13184,103961,95395
MDW,BOS,,Others,HFLI,1/3/2019,143,861,131,13206,123123,113136
CMH,MCO,,Others,Acceptable,1/3/2019,143,802,132,13228,114686,105530
ABQ,MCI,Others,Gateway,Waste,1/3/2019,143,718,132,13250,102674,94609
DAL,BOS,Others,Others,HFLI,1/3/2019,175,1554,132,13272,271950,205052
MCI,BNA,Gateway,Gateway,LFHI,1/3/2019,143,491,132,13294,70213,64878
PHX,LAX,Constrained,Others,LFHI,1/3/2019,143,370,132,13316,52910,48958
LAS,MSY,Key Stations,Constrained,HFLI,1/3/2019,143,,133,13338,214500,198752
PHX,ABQ,Constrained,Others,LFHI,1/4/2019,143,,133,13360,46904,43521
LGA,ATL,Gateway,Others,Waste,1/4/2019,143,,133,13382,108966,101246
HOU,TPA,Key Stations,Others,Acceptable,1/4/2019,143,,133,13403,111683,103914
DAL,MDW,Others,Key Stations,HFLI,1/4/2019,175,,133,13425,138775,105656
MBJ,HOU,Constrained,Key Stations,LFHI,1/4/2019,175,,133,13447,233800,178248
HOU,DAL,Key Stations,Others,Waste,1/4/2019,143,,134,13469,34177,31931
FLL,BWI,Cornerstone,Constrained,LFHI,1/4/2019,143,925,134,13491,132275,123752
BNA,BWI,Gateway,Constrained,LFHI,1/4/2019,143,587,134,13513,83941,78640
SMF,MCO,Cornerstone,Others,Waste,1/4/2019,175,2408,134,13535,421400,323040
DAL,ATL,Others,Others,Waste,1/4/2019,143,721,134,13557,103103,96857
DEN,PDX,Cornerstone,Key Stations,Waste,1/4/2019,175,991,135,13579,173425,133309
BWI,ORF,Constrained, ,HFLI,1/4/2019,143,159,135,13601,22737,21418
CLT,HOU,Cornerstone,Key Stations,LFHI,1/4/2019,143,920,135,13623,131560,124096
ABQ,MCI,Others,Gateway,Acceptable,1/4/2019,143,718,135,13645,102674,96981
DSM,STL,Gateway,Others,Waste,1/4/2019,143,259,135,13667,37037,35031
BHM,TPA,Others,Others,HFLI,1/4/2019,143,459,135,13689,65637,62166
MDW,CHS,Key Stations,Cornerstone,Acceptable,1/4/2019,143,745,136,13711,106535,101038
RNO,SAN,Others,Constrained,Acceptable,1/4/2019,143,488,136,13733,69784,66273
MDW,MSY,Key Stations,Constrained,Acceptable,1/4/2019,143,825,136,13755,117975,112190
MDW,ABQ,Key Stations,Others,Waste,1/4/2019,143,1121,136,13777,160303,152648
BNA,CLE,Gateway,Gateway,Acceptable,1/4/2019,143,448,136,13799,64064,61087
HOU,PVR,Key Stations, ,LFHI,1/4/2019,143,877,137,13821,125411,119744
LAX,MDW,Others,Key Stations,HFLI,1/4/2019,175,1750,137,13843,306250,239263
DAL,MSY,Others,Constrained,LFHI,1/4/2019,143,436,137,13865,62348,59691
ATL,MDW,Others,Key Stations,Acceptable,1/4/2019,175,591,137,13886,103425,81020
LAS,RNO,Key Stations,Others,Acceptable,1/4/2019,143,345,137,13908,49335,47359
STL,DCA,Others,Constrained,Waste,1/4/2019,143,719,137,13930,102817,98831
SNA,OAK,Gateway,Constrained,LFHI,1/4/2019,143,371,138,13952,53053,51064
DCA,ATL,Constrained,Others,HFLI,1/4/2019,175,547,138,13974,95725,75389
BWI,MEM,Constrained,Cornerstone,HFLI,1/4/2019,143,787,138,13996,112541,108611
BNA,JAX,Gateway,Others,Acceptable,1/4/2019,143,483,138,14018,69069,66746
MCO,IND,Others,Gateway,LFHI,1/4/2019,143,829,138,14040,118547,114712
SJC,AUS,Gateway,Gateway,LFHI,1/4/2019,175,1476,139,14062,258300,204510
ABQ,PHX,Others,Constrained,HFLI,1/4/2019,143,328,139,14084,46904,45507
IND,PHX,Gateway,Constrained,HFLI,1/4/2019,143,1488,139,14106,212784,206719
BWI,MEM,Constrained,Cornerstone,Waste,1/4/2019,143,787,139,14128,112541,109478
MSY,BNA,Constrained,Gateway,HFLI,1/4/2019,175,471,139,14150,82425,65606
RSW,ATL,Key Stations,Others,Waste,1/4/2019,143,515,139,14172,73645,71829
DCA,MDW,Constrained,Key Stations,LFHI,1/4/2019,143,601,140,14194,85943,83934
LAS,DAL,Key Stations,Others,Acceptable,1/4/2019,143,1067,140,14216,152581,149211
TPA,CMH,Others,Gateway,Acceptable,1/4/2019,143,829,140,14238,118547,116081
PIT,MDW,Key Stations,Key Stations,Waste,1/4/2019,143,402,140,14260,57486,56364
SJC,LAX,Gateway,Others,Acceptable,1/4/2019,143,308,140,14282,44044,43241
BOS,BWI,Others,Constrained,Waste,1/4/2019,143,369,141,14304,52767,51872
STL,BNA,Others,Gateway,Waste,1/4/2019,143,272,141,14326,38896,38286
ATL,IND,Others,Gateway,HFLI,1/4/2019,143,432,141,14348,61776,60887
MCO,PIT,Others,Key Stations,HFLI,1/4/2019,175,834,141,14370,145950,117699
DAL,OKC,Others,Key Stations,HFLI,1/4/2019,143,181,141,14391,25883,25577
PHX,SLC,Constrained,Gateway,Acceptable,1/4/2019,175,507,141,14413,88725,71737
SJC,BWI,Gateway,Constrained,Acceptable,1/5/2019,175,2439,142,14435,426825,345549
SJD,SAN,Others,Constrained,LFHI,1/5/2019,143,802,142,14457,114686,113772
FLL,HAV,Cornerstone,Constrained,Waste,1/5/2019,175,255,142,14479,44625,36221
OGG,OAK,Constrained,Constrained,LFHI,1/5/2019,175,2349,142,14501,411075,334091
DAL,PHX,Others,Constrained,LFHI,1/5/2019,143,879,142,14523,125697,125179
CLT,DAL,Cornerstone,Others,Waste,1/5/2019,143,926,143,14545,132418,132042
BNA,BOS,Gateway,Others,Waste,1/5/2019,143,942,143,14567,134706,134496
SMF,SAN,Cornerstone,Constrained,HFLI,1/5/2019,143,480,,,,68621
PVD,DCA,Constrained,Constrained,Acceptable,1/5/2019,143,356,,,,50959
MCI,DAL,Gateway,Others,Acceptable,1/5/2019,143,460,,,,65931
SMF,SAN,Cornerstone,Constrained,LFHI,1/5/2019,143,480,,,,68885
TPA,BDL,Others,Key Stations,Acceptable,1/5/2019,143,1111,,,,159645
MSY,DAL,Constrained,Others,Waste,1/5/2019,143,436,,,,62731
BWI,SDF,Constrained,Gateway,Waste,1/5/2019,143,495,,,,71311
DEN,OAK,Cornerstone,Constrained,Acceptable,1/5/2019,143,957,,,,138043
SJC,SAN,Gateway,Constrained,HFLI,1/5/2019,143,417,144,14765,59631,60227
MDW,ATL,Key Stations,Others,Acceptable,1/5/2019,143,591,145,14787,84513,85466
ONT,SFO,Cornerstone,Constrained,HFLI,1/5/2019,143,363,145,14809,51909,52561
SAN,SMF,Constrained,Cornerstone,Waste,1/5/2019,143,480,145,14831,68640,69590
FLL,MCI,Cornerstone,Gateway,HFLI,1/5/2019,143,1242,145,14853,177606,180292
STL,SAN,Others,Constrained,LFHI,1/5/2019,143,1557,145,14875,222651,226304
MDW,JAX,Key Stations,Others,Acceptable,1/5/2019,175,849,146,14896,148575,123555
DEN,SJD,Cornerstone,Others,HFLI,1/5/2019,143,1189,146,14918,170027,173253
ATL,TPA,Others,Others,Acceptable,1/5/2019,143,406,146,14940,58058,59234
DAL,SAN,Others,Constrained,Acceptable,1/5/2019,143,1182,146,14962,169026,172667
HOU,IND,Key Stations,Gateway,LFHI,1/5/2019,175,861,146,14984,150675,125933
ELP,SJC,Cornerstone,Gateway,HFLI,1/5/2019,143,964,146,15006,137852,141175
BNA,HOU,Gateway,Key Stations,HFLI,1/5/2019,143,670,147,15028,95810,98243
DEN,MCI,Cornerstone,Gateway,Waste,1/5/2019,143,533,147,15050,76219,78252
SAN,SMF,Constrained,Cornerstone,Waste,1/5/2019,143,480,147,15072,68640,70559
DAL,IND,Others,Gateway,LFHI,1/5/2019,143,755,147,15094,107965,111122
PHL,MDW,Constrained,Key Stations,HFLI,1/5/2019,175,668,147,15116,116900,98440
CUN,MDW,Cornerstone,Key Stations,HFLI,1/5/2019,143,1430,148,15138,204490,210994
BHM,HOU,Others,Key Stations,Waste,1/5/2019,175,570,148,15160,99750,84207
SMF,BUR,Cornerstone,Key Stations,LFHI,1/5/2019,143,358,148,15182,51194,52954
